# SYNTHETIC ground truth — generated by scripts/make_synthetic.py for project 01.14
# regenerate: python make_synthetic.py --seed 42
# columns: slot,row,col,cohort,expected_type,actual_type(-1=empty),rotation_deg,offset_dx_px,offset_dy_px,shadow(0/1),verdict
0,0,0,plain,0,0,0.000,0,0,0,OK
1,0,1,plain,1,1,0.000,0,0,0,OK
2,0,2,plain,2,2,0.000,0,0,0,OK
3,0,3,offset,0,0,0.000,5,-6,0,OK
4,0,4,empty,1,-1,0.000,0,0,0,EMPTY
5,0,5,wrong_part,2,0,0.000,0,0,0,WRONG_PART
6,1,0,rotated,0,0,24.000,0,0,0,OK
7,1,1,shadow,1,1,0.000,0,0,1,OK
8,1,2,plain,2,2,0.000,0,0,0,OK
9,1,3,plain,0,0,0.000,0,0,0,OK
10,1,4,plain,1,1,0.000,0,0,0,OK
11,1,5,plain,2,2,0.000,0,0,0,OK
12,2,0,plain,0,0,0.000,0,0,0,OK
13,2,1,plain,1,1,0.000,0,0,0,OK
14,2,2,plain,2,2,0.000,0,0,0,OK
15,2,3,plain,0,0,0.000,0,0,0,OK
16,2,4,plain,1,1,0.000,0,0,0,OK
17,2,5,plain,2,2,0.000,0,0,0,OK
18,3,0,plain,0,0,0.000,0,0,0,OK
19,3,1,plain,1,1,0.000,0,0,0,OK
20,3,2,plain,2,2,0.000,0,0,0,OK
21,3,3,plain,0,0,0.000,0,0,0,OK
22,3,4,plain,1,1,0.000,0,0,0,OK
23,3,5,plain,2,2,0.000,0,0,0,OK
