# SYNTHETIC data - generated by scripts/make_synthetic.py for project 01.19
# regenerate: python make_synthetic.py --seed 42
# key,value  (units in the key name; all geometry is camera-frame == world-frame)
cam_w_px,200
cam_h_px,150
cam_fx_px,220.0
cam_fy_px,220.0
cam_cx_px,100.0
cam_cy_px,75.0
proj_cols,128
proj_fx_px,180.0
proj_cx_px,64.0
baseline_m,0.12
gray_bits,7
phase_steps,4
phase_period_cols,8.0
seed,42
bg_z0_m,0.75
bg_ax_slope,0.1763269807
bg_albedo,0.75
sphere_cx_m,0.02
sphere_cy_m,-0.02
sphere_cz_m,0.55
sphere_radius_m_truth,0.09
sphere_albedo,0.65
box_z_m,0.58
box_x_min_m,0.1
box_x_max_m,0.24
box_y_min_m,-0.1
box_y_max_m,0.04
box_albedo,0.55
step_height_m_truth,0.19997558671900006
dark_stripe_row_min,95
dark_stripe_row_max,118
dark_stripe_col_min,30
dark_stripe_col_max,175
dark_albedo,0.05
ambient_counts,20.0
gain_counts,180.0
noise_sigma_counts,3.0
blur_radius_px,1
surf_background_pixels,23196
surf_sphere_pixels,4190
surf_box_pixels,2614
surf_none_pixels,0
projector_fov_pixels,21300
