# SYNTHETIC data - generated by scripts/make_synthetic.py for project 01.20
# regenerate: python make_synthetic.py --seed 42
# key,value  (units in the key name; all geometry is camera-frame == world-frame)
cam_w_px,160
cam_h_px,120
cam_fx_px,150.0
cam_fy_px,150.0
cam_cx_px,80.0
cam_cy_px,60.0
freq1_hz,60000000.0
freq2_hz,20000000.0
num_taps,4
max_scene_depth_m,6.0
seed,42
bg_z0_m,5.246
bg_ax_slope,0.1051042353
bg_albedo,0.7
sphere_cx_m,0.35
sphere_cy_m,-0.15
sphere_cz_m,2.05
sphere_radius_m_truth,0.3
sphere_albedo,0.6
box_z_m,1.5
box_x_min_m,-0.7
box_x_max_m,-0.15
box_y_min_m,-0.3
box_y_max_m,0.25
box_albedo,0.5
step_height_m_truth,3.7013306999975004
dark_patch_row_min,90
dark_patch_row_max,110
dark_patch_col_min,90
dark_patch_col_max,150
dark_albedo,0.04
ambient_counts,100.0
gain_counts,90.0
noise_sigma_counts,3.0
supersample_factor,4
surf_background_pixels,14601
surf_sphere_pixels,1574
surf_box_pixels,3025
surf_none_pixels,0
true_flying_pixels,108
