# SYNTHETIC perturbed-initial-pose cohort for project 02.07's basin/convergence/accuracy gates.
# regenerate: python make_synthetic.py --seed 42
# columns: trial_id,bin_index,magnitude_trans_m,magnitude_yaw_deg,r00,r01,r02,r10,r11,r12,r20,r21,r22,tx,ty,tz
# R,t is the INITIAL GUESS T_map_scan (row-major R, t in meters) every registration trial starts from.
0,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.1999682363,0.0035643317,1.2000000000
1,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.0881832725,-0.1795096389,1.2000000000
2,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,4.8951726603,-0.1703268295,1.2000000000
3,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.0290501809,0.1978789706,1.2000000000
4,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,4.9206923545,-0.1836036420,1.2000000000
5,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.1467016424,0.1359361177,1.2000000000
6,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.0331136357,-0.1972396693,1.2000000000
7,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.1676931430,0.1089908703,1.2000000000
8,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,4.8063425687,0.0499679826,1.2000000000
9,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,4.8845252478,-0.1632959938,1.2000000000
10,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.1640662528,0.1143777281,1.2000000000
11,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.1996366418,-0.0120503628,1.2000000000
12,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.1700241068,0.1053176296,1.2000000000
13,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,4.8534179996,-0.1360651210,1.2000000000
14,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,4.8006618838,-0.0162577800,1.2000000000
15,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.1997571191,-0.0098535961,1.2000000000
16,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.1347808252,0.1477637613,1.2000000000
17,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,4.9039946860,-0.1754507899,1.2000000000
18,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,4.9726285529,-0.1981181564,1.2000000000
19,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.0530979712,0.1928227307,1.2000000000
20,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.1855039473,-0.0747548363,1.2000000000
21,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.0705277335,0.1871519137,1.2000000000
22,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,4.8864137648,-0.1646152094,1.2000000000
23,0,0.2000,5.0000,0.9961946981,0.0871557427,0.0000000000,-0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,4.9077808796,0.1774700928,1.2000000000
24,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,4.8021352181,0.0291466649,1.2000000000
25,0,0.2000,5.0000,0.9961946981,-0.0871557427,0.0000000000,0.0871557427,0.9961946981,0.0000000000,0.0000000000,0.0000000000,1.0000000000,5.0963624980,-0.1752548686,1.2000000000
