# SYNTHETIC ground truth -- generated by scripts/make_synthetic.py for project 02.11
# regenerate: python make_synthetic.py --seed 42
# columns: query_idx,match_idx,cohort,relative_yaw_true_deg,lateral_offset_m
# cohort in {same_heading, rotated, lateral_offset}; a query anchor absent from every
# row of this file (as query_idx AND match_idx) is a NEGATIVE example (see main.cu).
query_idx,match_idx,cohort,relative_yaw_true_deg,lateral_offset_m
82,27,rotated,180.000,0.000
87,22,rotated,180.000,0.000
92,22,same_heading,0.000,0.000
97,27,same_heading,0.000,0.000
97,82,rotated,180.000,0.000
102,32,same_heading,0.000,0.000
107,37,same_heading,0.000,0.000
112,42,same_heading,0.000,0.000
117,47,same_heading,0.000,0.000
117,52,rotated,180.000,0.000
122,2,same_heading,0.000,0.000
127,7,same_heading,0.000,0.000
132,7,lateral_offset,0.000,1.300
137,2,lateral_offset,0.000,2.600
137,122,lateral_offset,0.000,2.600
142,57,lateral_offset,0.000,0.600
