# SYNTHETIC data -- generated by scripts/make_synthetic.py for project 02.11
# regenerate: python make_synthetic.py --seed 42
# columns: idx,x_m,y_m,heading_rad,seg_index,from_id,to_id,offset_m,is_anchor(0/1)
idx,x_m,y_m,heading_rad,seg_index,from_id,to_id,offset_m,is_anchor
0,2.5000,0.0000,0.000000,0,0,1,0.000,0
1,7.5000,0.0000,0.000000,0,0,1,0.000,0
2,12.5000,0.0000,0.000000,0,0,1,0.000,1
3,17.5000,0.0000,0.000000,0,0,1,0.000,0
4,22.5000,0.0000,0.000000,0,0,1,0.000,0
5,27.5000,0.0000,0.000000,1,1,2,0.000,0
6,32.5000,0.0000,0.000000,1,1,2,0.000,0
7,37.5000,0.0000,0.000000,1,1,2,0.000,1
8,42.5000,0.0000,0.000000,1,1,2,0.000,0
9,47.5000,0.0000,0.000000,1,1,2,0.000,0
10,52.5000,0.0000,0.000000,2,2,3,0.000,0
11,57.5000,0.0000,0.000000,2,2,3,0.000,0
12,62.5000,0.0000,0.000000,2,2,3,0.000,1
13,67.5000,0.0000,0.000000,2,2,3,0.000,0
14,72.5000,0.0000,0.000000,2,2,3,0.000,0
15,75.0000,2.5000,1.570796,3,3,7,0.000,0
16,75.0000,7.5000,1.570796,3,3,7,0.000,0
17,75.0000,12.5000,1.570796,3,3,7,0.000,1
18,75.0000,17.5000,1.570796,3,3,7,0.000,0
19,75.0000,22.5000,1.570796,3,3,7,0.000,0
20,75.0000,27.5000,1.570796,4,7,11,0.000,0
21,75.0000,32.5000,1.570796,4,7,11,0.000,0
22,75.0000,37.5000,1.570796,4,7,11,0.000,1
23,75.0000,42.5000,1.570796,4,7,11,0.000,0
24,75.0000,47.5000,1.570796,4,7,11,0.000,0
25,72.5000,50.0000,3.141593,5,11,10,0.000,0
26,67.5000,50.0000,3.141593,5,11,10,0.000,0
27,62.5000,50.0000,3.141593,5,11,10,0.000,1
28,57.5000,50.0000,3.141593,5,11,10,0.000,0
29,52.5000,50.0000,3.141593,5,11,10,0.000,0
30,47.5000,50.0000,3.141593,6,10,9,0.000,0
31,42.5000,50.0000,3.141593,6,10,9,0.000,0
32,37.5000,50.0000,3.141593,6,10,9,0.000,1
33,32.5000,50.0000,3.141593,6,10,9,0.000,0
34,27.5000,50.0000,3.141593,6,10,9,0.000,0
35,22.5000,50.0000,3.141593,7,9,8,0.000,0
36,17.5000,50.0000,3.141593,7,9,8,0.000,0
37,12.5000,50.0000,3.141593,7,9,8,0.000,1
38,7.5000,50.0000,3.141593,7,9,8,0.000,0
39,2.5000,50.0000,3.141593,7,9,8,0.000,0
40,0.0000,47.5000,-1.570796,8,8,4,0.000,0
41,0.0000,42.5000,-1.570796,8,8,4,0.000,0
42,0.0000,37.5000,-1.570796,8,8,4,0.000,1
43,0.0000,32.5000,-1.570796,8,8,4,0.000,0
44,0.0000,27.5000,-1.570796,8,8,4,0.000,0
45,0.0000,22.5000,-1.570796,9,4,0,0.000,0
46,0.0000,17.5000,-1.570796,9,4,0,0.000,0
47,0.0000,12.5000,-1.570796,9,4,0,0.000,1
48,0.0000,7.5000,-1.570796,9,4,0,0.000,0
49,0.0000,2.5000,-1.570796,9,4,0,0.000,0
50,0.0000,2.5000,1.570796,10,0,4,0.000,0
51,0.0000,7.5000,1.570796,10,0,4,0.000,0
52,0.0000,12.5000,1.570796,10,0,4,0.000,1
53,0.0000,17.5000,1.570796,10,0,4,0.000,0
54,0.0000,22.5000,1.570796,10,0,4,0.000,0
55,2.5000,25.0000,0.000000,11,4,5,0.000,0
56,7.5000,25.0000,0.000000,11,4,5,0.000,0
57,12.5000,25.0000,0.000000,11,4,5,0.000,1
58,17.5000,25.0000,0.000000,11,4,5,0.000,0
59,22.5000,25.0000,0.000000,11,4,5,0.000,0
60,27.5000,25.0000,0.000000,12,5,6,0.000,0
61,32.5000,25.0000,0.000000,12,5,6,0.000,0
62,37.5000,25.0000,0.000000,12,5,6,0.000,1
63,42.5000,25.0000,0.000000,12,5,6,0.000,0
64,47.5000,25.0000,0.000000,12,5,6,0.000,0
65,52.5000,25.0000,0.000000,13,6,7,0.000,0
66,57.5000,25.0000,0.000000,13,6,7,0.000,0
67,62.5000,25.0000,0.000000,13,6,7,0.000,1
68,67.5000,25.0000,0.000000,13,6,7,0.000,0
69,72.5000,25.0000,0.000000,13,6,7,0.000,0
70,72.5000,25.0000,3.141593,14,7,6,0.000,0
71,67.5000,25.0000,3.141593,14,7,6,0.000,0
72,62.5000,25.0000,3.141593,14,7,6,0.000,1
73,57.5000,25.0000,3.141593,14,7,6,0.000,0
74,52.5000,25.0000,3.141593,14,7,6,0.000,0
75,50.0000,27.5000,1.570796,15,6,10,0.000,0
76,50.0000,32.5000,1.570796,15,6,10,0.000,0
77,50.0000,37.5000,1.570796,15,6,10,0.000,1
78,50.0000,42.5000,1.570796,15,6,10,0.000,0
79,50.0000,47.5000,1.570796,15,6,10,0.000,0
80,52.5000,50.0000,0.000000,16,10,11,0.000,0
81,57.5000,50.0000,0.000000,16,10,11,0.000,0
82,62.5000,50.0000,0.000000,16,10,11,0.000,1
83,67.5000,50.0000,0.000000,16,10,11,0.000,0
84,72.5000,50.0000,0.000000,16,10,11,0.000,0
85,75.0000,47.5000,-1.570796,17,11,7,0.000,0
86,75.0000,42.5000,-1.570796,17,11,7,0.000,0
87,75.0000,37.5000,-1.570796,17,11,7,0.000,1
88,75.0000,32.5000,-1.570796,17,11,7,0.000,0
89,75.0000,27.5000,-1.570796,17,11,7,0.000,0
90,75.0000,27.5000,1.570796,18,7,11,0.000,0
91,75.0000,32.5000,1.570796,18,7,11,0.000,0
92,75.0000,37.5000,1.570796,18,7,11,0.000,1
93,75.0000,42.5000,1.570796,18,7,11,0.000,0
94,75.0000,47.5000,1.570796,18,7,11,0.000,0
95,72.5000,50.0000,3.141593,19,11,10,0.000,0
96,67.5000,50.0000,3.141593,19,11,10,0.000,0
97,62.5000,50.0000,3.141593,19,11,10,0.000,1
98,57.5000,50.0000,3.141593,19,11,10,0.000,0
99,52.5000,50.0000,3.141593,19,11,10,0.000,0
100,47.5000,50.0000,3.141593,20,10,9,0.000,0
101,42.5000,50.0000,3.141593,20,10,9,0.000,0
102,37.5000,50.0000,3.141593,20,10,9,0.000,1
