# SYNTHETIC data - generated by scripts/make_synthetic.py for project 02.13
# sensor poses: identity orientation throughout (see module docstring)
# columns: scan_id,px,py,pz,qw,qx,qy,qz,t_s
0,-12.000000,0.000000,1.200000,1.0,0.0,0.0,0.0,0.000
1,-10.000000,0.000000,1.200000,1.0,0.0,0.0,0.0,0.500
2,-8.000000,0.000000,1.200000,1.0,0.0,0.0,0.0,1.000
3,-6.000000,0.000000,1.200000,1.0,0.0,0.0,0.0,1.500
4,-4.000000,0.000000,1.200000,1.0,0.0,0.0,0.0,2.000
5,-2.000000,0.000000,1.200000,1.0,0.0,0.0,0.0,2.500
6,0.000000,0.000000,1.200000,1.0,0.0,0.0,0.0,3.000
7,2.000000,0.000000,1.200000,1.0,0.0,0.0,0.0,3.500
8,4.000000,0.000000,1.200000,1.0,0.0,0.0,0.0,4.000
9,6.000000,0.000000,1.200000,1.0,0.0,0.0,0.0,4.500
