# SYNTHETIC LiDAR returns for project 02.17 -- LIDAR-FRAME meters (x,y,z)
# true_r/g/b: exact flat surface color the ray hit, [0,255] -- EVALUATION-ONLY ground truth
# visible: 1 if unobstructed from the CAMERA's own origin, 0 if occluded -- EVALUATION-ONLY
# surface: human-readable object name -- EVALUATION-ONLY
# regenerate: python make_synthetic.py --seed 42
# 3368 points, 138 ground-truth-occluded (the occlusion cohort), range noise sigma=0.02 m
x,y,z,true_r,true_g,true_b,visible,surface
4.164654,-2.602365,-1.787411,100.0,100.0,100.0,1,ground
4.238054,-2.593237,-1.808386,100.0,100.0,100.0,1,ground
4.238184,-2.538950,-1.798192,100.0,100.0,100.0,1,ground
4.258113,-2.496877,-1.796625,100.0,100.0,100.0,1,ground
4.289530,-2.461485,-1.800052,100.0,100.0,100.0,1,ground
4.315515,-2.422836,-1.801333,100.0,100.0,100.0,1,ground
4.334171,-2.380083,-1.799715,100.0,100.0,100.0,1,ground
4.356674,-2.339484,-1.799861,100.0,100.0,100.0,1,ground
4.412563,-2.316400,-1.813888,100.0,100.0,100.0,1,ground
4.392875,-2.253723,-1.797019,100.0,100.0,100.0,1,ground
4.409557,-2.210245,-1.795277,100.0,100.0,100.0,1,ground
4.425329,-2.166417,-1.793339,100.0,100.0,100.0,1,ground
4.480128,-2.141349,-1.807321,100.0,100.0,100.0,1,ground
4.469096,-2.084772,-1.794897,100.0,100.0,100.0,1,ground
4.498555,-2.047322,-1.798931,100.0,100.0,100.0,1,ground
4.502409,-1.998275,-1.792892,100.0,100.0,100.0,1,ground
3.645728,-1.577267,-1.445796,200.0,60.0,60.0,1,occluder
3.640256,-1.534497,-1.437850,200.0,60.0,60.0,1,occluder
3.654419,-1.500227,-1.437819,200.0,60.0,60.0,1,occluder
3.642145,-1.455391,-1.427552,200.0,60.0,60.0,1,occluder
3.671357,-1.427248,-1.433687,200.0,60.0,60.0,1,occluder
3.629973,-1.372078,-1.412434,200.0,60.0,60.0,1,occluder
3.674468,-1.349616,-1.424755,200.0,60.0,60.0,1,occluder
3.679784,-1.312502,-1.421977,200.0,60.0,60.0,1,occluder
3.618522,-1.252491,-1.393699,200.0,60.0,60.0,1,occluder
3.648903,-1.224775,-1.400911,200.0,60.0,60.0,1,occluder
3.637333,-1.183021,-1.392144,200.0,60.0,60.0,1,occluder
3.649692,-1.149272,-1.392683,200.0,60.0,60.0,1,occluder
3.658431,-1.114389,-1.391965,200.0,60.0,60.0,1,occluder
3.661393,-1.077840,-1.389181,200.0,60.0,60.0,1,occluder
3.654931,-1.038759,-1.382969,200.0,60.0,60.0,1,occluder
3.616442,-0.991228,-1.364824,200.0,60.0,60.0,1,occluder
3.679639,-0.971510,-1.385172,200.0,60.0,60.0,1,occluder
3.681748,-0.935189,-1.382601,200.0,60.0,60.0,1,occluder
3.659610,-0.893083,-1.371078,200.0,60.0,60.0,1,occluder
3.647005,-0.853817,-1.363293,200.0,60.0,60.0,1,occluder
3.668578,-0.822624,-1.368411,200.0,60.0,60.0,1,occluder
3.655305,-0.783686,-1.360656,200.0,60.0,60.0,1,occluder
3.645504,-0.745863,-1.354342,200.0,60.0,60.0,1,occluder
3.680200,-0.717039,-1.364671,200.0,60.0,60.0,1,occluder
3.641804,-0.674140,-1.348027,200.0,60.0,60.0,1,occluder
3.630467,-0.636856,-1.341559,200.0,60.0,60.0,1,occluder
3.635760,-0.602663,-1.341365,200.0,60.0,60.0,1,occluder
3.630098,-0.566767,-1.337255,200.0,60.0,60.0,1,occluder
3.651838,-0.535098,-1.343354,200.0,60.0,60.0,1,occluder
3.689956,-0.505351,-1.355571,200.0,60.0,60.0,1,occluder
3.635310,-0.463147,-1.333840,200.0,60.0,60.0,1,occluder
3.664629,-0.431966,-1.343050,200.0,60.0,60.0,1,occluder
3.692947,-0.400196,-1.351992,200.0,60.0,60.0,1,occluder
4.043169,-0.399789,-1.478770,200.0,60.0,60.0,1,occluder
4.939349,-0.441628,-1.804947,100.0,100.0,100.0,1,ground
4.951898,-0.395935,-1.808096,100.0,100.0,100.0,1,ground
4.901359,-0.345626,-1.788379,100.0,100.0,100.0,1,ground
4.883007,-0.298298,-1.780582,100.0,100.0,100.0,1,ground
4.922814,-0.254374,-1.794148,100.0,100.0,100.0,1,ground
4.917479,-0.207837,-1.791414,100.0,100.0,100.0,1,ground
4.929237,-0.162000,-1.795064,100.0,100.0,100.0,1,ground
4.954811,-0.116294,-1.803900,100.0,100.0,100.0,1,ground
4.967964,-0.069953,-1.808370,100.0,100.0,100.0,1,ground
4.969868,-0.023325,-1.808904,100.0,100.0,100.0,1,ground
4.949844,0.023231,-1.801616,100.0,100.0,100.0,1,ground
4.939942,0.069559,-1.798170,100.0,100.0,100.0,1,ground
