# SYNTHETIC data - generated by scripts/make_synthetic.py for project 02.20
# regenerate: python make_synthetic.py --seed 42
# variant: degenerate (channel 15 retargeted to 45.0 deg elevation, hits ONLY the isolated target - unobservable-channel gate)
# scene: GROUND/WALL_NEAR/PANEL/WALL_FAR/ISOLATED_TARGET - see this script's module
#        docstring for the full forward-model derivation
# num_beams=16
# elev_min_deg=-4.0
# elev_max_deg=4.0
# azimuth_min_deg=-40.0
# azimuth_step_deg=1.0
# azimuth_steps=81
# max_range_m=45.0
# range_plateau_m=4.0
# seed=42
# surf_id: 0=GROUND 1=WALL_NEAR 2=PANEL 3=WALL_FAR 4=ISOLATED_TARGET
# elev_deg_by_channel=-4.000000,-3.466667,-2.933333,-2.400000,-1.866667,-1.333333,-0.800000,-0.266667,0.266667,0.800000,1.333333,1.866667,2.400000,2.933333,3.466667,45.000000
# columns: channel,x,y,z,intensity,surf_id,R_true
0,13.165439,-11.047115,-1.201780,0.000159,0,0.220000
0,13.346927,-10.808129,-1.200943,0.001750,0,0.220000
0,13.515736,-10.559650,-1.199365,0.001162,0,0.220000
0,13.711505,-10.332360,-1.200550,0.000541,0,0.220000
0,13.888486,-10.090576,-1.200441,0.000235,0,0.220000
0,14.048322,-9.836741,-1.199233,0.000646,0,0.220000
0,14.203310,-9.580253,-1.198006,0.000431,0,0.220000
0,14.379374,-9.338075,-1.198926,0.001503,0,0.220000
0,14.529042,-9.078753,-1.198009,0.000000,0,0.220000
0,14.689750,-8.826492,-1.198374,0.000000,0,0.220000
0,14.869813,-8.585090,-1.200656,0.000000,0,0.220000
0,15.027587,-8.329928,-1.201472,0.000105,0,0.220000
0,15.165906,-8.063855,-1.201094,0.000000,0,0.220000
0,15.318052,-7.804937,-1.202171,0.000682,0,0.220000
0,15.456326,-7.538554,-1.202513,0.000000,0,0.220000
0,15.552146,-7.252085,-1.199937,0.000000,0,0.220000
0,15.684369,-6.983131,-1.200551,0.000597,0,0.220000
0,15.800408,-6.706875,-1.200289,0.000409,0,0.220000
0,15.932660,-6.437213,-1.201617,0.000000,0,0.220000
0,15.997439,-6.140842,-1.198236,0.000503,0,0.220000
0,16.104397,-5.861521,-1.198402,0.000000,0,0.220000
0,16.209346,-5.581325,-1.198779,0.000376,0,0.220000
0,16.308843,-5.299064,-1.199114,0.000615,0,0.220000
0,16.413476,-5.018103,-1.200184,0.000000,0,0.220000
0,16.491653,-4.728905,-1.199682,0.000000,0,0.220000
0,8.042087,-2.154871,-0.582195,0.077432,1,0.550000
0,8.033721,-2.003032,-0.578970,0.081139,1,0.550000
0,7.978824,-1.842057,-0.572610,0.079501,1,0.550000
0,7.977116,-1.695588,-0.570276,0.077038,1,0.550000
0,7.980933,-1.551336,-0.568527,0.079967,1,0.550000
0,7.947963,-1.401440,-0.564349,0.080042,1,0.550000
0,8.003625,-1.267650,-0.566644,0.079515,1,0.550000
0,8.019620,-1.127084,-0.566298,0.081880,1,0.550000
0,8.013863,-0.983979,-0.564592,0.082301,1,0.550000
0,7.980602,-0.838795,-0.561132,0.083035,1,0.550000
0,8.023672,-0.701980,-0.563213,0.089354,1,0.550000
0,8.008070,-0.559979,-0.561346,0.084483,1,0.550000
0,7.987324,-0.418598,-0.559295,0.086727,1,0.550000
0,8.006856,-0.279606,-0.560235,0.085425,1,0.550000
0,8.004988,-0.139728,-0.559849,0.085979,1,0.550000
0,7.977151,0.000000,-0.557817,0.085313,1,0.550000
0,8.003782,0.139707,-0.559764,0.085591,1,0.550000
0,7.988438,0.278962,-0.558946,0.083581,1,0.550000
0,7.974371,0.417919,-0.558388,0.084643,1,0.550000
0,7.978632,0.557920,-0.559283,0.084494,1,0.550000
0,7.983009,0.698423,-0.560359,0.087196,1,0.550000
0,7.980741,0.838810,-0.561142,0.079722,1,0.550000
