# trajectory_scans.csv - SYNTHETIC trajectory + noisy odometry + noisy range scans (project 04.01)
# generated by scripts/make_synthetic.py, seed 42 (Python random.Random - deterministic draws)
# INIT,x_m,y_m,theta_rad : the TRUE start pose (the filter initializes its particle cloud around it)
# each STEP row: ground-truth pose AFTER applying that step's true twist; the NOISY odometry
#   measurement of the twist (v + N(0,0.05) m/s, w + N(0,0.05) rad/s); and 16 NOISY ranges
#   (true raycast + N(0,0.10) m, clamped to [0.125, 8.0]) measured at the post-step true pose.
# beam b points at world angle gt_theta_rad + (-pi + b*pi/8): z00 rear, z04 right, z08 forward, z12 left.
# units: m, m/s, rad, rad/s, s; frame: world (origin lower-left map corner, x right, y up); theta UNWRAPPED.
# license: same as the repository (MIT) - fully synthetic, no external source
INIT,6.000000,6.000000,0.000000
STEP,t_s,gt_x_m,gt_y_m,gt_theta_rad,odo_v_ms,odo_w_rads,z00_m,z01_m,z02_m,z03_m,z04_m,z05_m,z06_m,z07_m,z08_m,z09_m,z10_m,z11_m,z12_m,z13_m,z14_m,z15_m
0,0.1,6.100000,6.000000,0.000000,0.992795,-0.008645,5.8639,6.4452,3.9872,6.1003,5.9082,6.2233,7.9783,5.3866,8.0000,8.0000,2.1907,8.0000,7.9262,5.3985,8.0000,6.5061
1,0.2,6.200000,6.000000,0.000000,1.002083,-0.005316,6.0532,6.3546,3.9688,6.2990,5.9623,6.2259,8.0000,5.2748,8.0000,7.8887,2.1818,7.8485,7.7380,5.4393,7.9084,6.5876
2,0.3,6.300000,6.000000,0.000000,1.033213,-0.060954,6.2097,6.5248,3.9914,6.2206,5.8864,6.3319,8.0000,5.1600,8.0000,8.0000,2.0623,7.9283,7.9530,5.5499,7.9750,6.8586
3,0.4,6.400000,6.000000,0.000000,0.959035,-0.054944,6.3268,6.8922,4.0506,6.3336,6.0176,6.2406,7.8577,4.9468,8.0000,7.8556,2.1284,8.0000,7.9684,5.5724,8.0000,6.9821
4,0.5,6.500000,6.000000,0.000000,1.030998,-0.030470,6.1938,6.7918,4.0952,6.1933,5.8680,6.3249,7.9277,4.8456,7.8159,7.8918,7.0682,8.0000,8.0000,5.4982,8.0000,6.8918
5,0.6,6.600000,6.000000,0.000000,1.054237,0.044668,6.4024,6.7739,4.2153,6.2881,5.9977,6.2470,8.0000,4.8391,8.0000,8.0000,7.0734,7.8872,7.9849,5.6423,8.0000,6.9439
6,0.7,6.700000,6.000000,0.000000,0.881206,0.035548,6.5556,6.9450,4.1873,6.2498,6.0475,6.1445,7.9572,4.8862,7.9554,7.9636,7.1348,2.0009,8.0000,5.3790,8.0000,7.0003
7,0.8,6.800000,6.000000,0.000000,1.114172,0.014042,6.7616,6.9947,4.3628,6.2823,6.0496,6.0819,8.0000,4.6841,8.0000,8.0000,7.1302,1.8228,7.8752,5.5195,7.9808,7.3270
8,0.9,6.900000,6.000000,0.000000,0.969449,0.016020,6.5931,7.2105,4.5261,6.3324,6.0198,6.2456,7.8883,4.6708,8.0000,8.0000,7.0550,1.7383,8.0000,5.6950,8.0000,7.3109
9,1.0,7.000000,6.000000,0.000000,1.014326,0.107640,6.7744,7.3454,4.6362,6.3983,5.8869,6.3019,8.0000,4.5737,7.8273,8.0000,7.1480,1.5642,8.0000,6.0608,7.9005,7.4268
10,1.1,7.100000,6.000000,0.000000,0.990195,-0.074151,6.9203,7.4955,4.6755,6.3023,5.9238,6.1922,8.0000,4.7265,7.9287,8.0000,7.1253,1.8516,7.8138,6.3195,7.9694,7.4900
11,1.2,7.200000,6.000000,0.000000,1.095079,-0.000429,7.2241,7.5808,5.0351,6.2009,5.8059,6.2562,7.9717,4.6452,7.7895,8.0000,7.1083,1.7993,7.8993,6.5293,8.0000,7.5380
12,1.3,7.300000,6.000000,0.000000,0.925235,-0.027325,7.1722,7.8193,5.2540,6.2243,5.7148,6.2065,8.0000,4.6716,7.8043,7.9965,7.2648,1.8377,8.0000,6.7809,7.8760,7.6657
13,1.4,7.400000,6.000000,0.000000,1.002346,0.025160,7.3080,7.7022,5.1348,6.1722,5.7593,6.3143,7.7688,4.5917,8.0000,8.0000,7.1321,8.0000,7.9601,6.9256,7.9326,7.9027
14,1.5,7.500000,6.000000,0.000000,1.049711,0.024370,7.5830,7.8718,5.4370,6.2808,5.8528,6.4816,8.0000,4.4851,7.9600,8.0000,7.2033,7.8652,7.7744,7.0594,7.9929,7.8647
15,1.6,7.600000,6.000000,0.000000,1.017261,-0.038484,7.2526,7.7977,5.5329,6.2870,5.9743,6.3291,4.8559,4.7599,7.9864,7.9339,7.0729,7.9415,1.2834,7.5156,7.1500,7.9638
16,1.7,7.700000,6.000000,0.000000,0.964308,0.018590,7.6717,8.0000,5.5742,6.1909,5.8680,6.1235,4.7375,4.6311,8.0000,8.0000,7.2284,7.9287,1.5670,7.6361,7.1562,8.0000
17,1.8,7.800000,6.000000,0.000000,0.961680,0.099969,7.6817,7.8097,8.0000,6.2093,5.8751,6.2966,4.6641,4.4211,7.8842,8.0000,7.2551,8.0000,1.6803,7.7944,7.2019,7.8084
18,1.9,7.900000,6.000000,0.000000,1.080680,0.012667,7.6359,8.0000,8.0000,6.0609,5.9043,6.1769,4.5111,4.5785,8.0000,7.8577,7.1567,8.0000,1.4173,8.0000,7.1452,7.9310
19,2.0,8.000000,6.000000,0.000000,1.032395,0.004853,7.6556,8.0000,8.0000,6.2333,5.8113,6.1716,4.3731,4.6104,7.9209,7.9816,7.1866,7.9884,1.5764,7.9817,7.2080,8.0000
20,2.1,8.100000,6.000000,0.157080,0.994170,1.527807,7.9060,5.3009,7.0266,6.0866,5.8703,6.9070,3.8529,7.8774,7.5952,7.9619,6.2425,7.8512,1.6000,6.5287,7.9541,7.9232
21,2.2,8.198769,6.015643,0.314159,0.962062,1.660131,7.9840,5.7920,6.4627,5.9704,6.0565,4.4232,4.0728,7.6999,8.0000,7.9450,7.4883,7.9207,1.5853,6.7446,8.0000,8.0000
22,2.3,8.293874,6.046545,0.471239,0.940429,1.598879,6.1870,7.5326,6.0602,5.8996,6.4129,3.6611,7.8924,7.4415,8.0000,6.6861,7.9394,7.9330,7.9445,7.8484,7.9667,7.9369
23,2.4,8.382975,6.091944,0.628319,1.003494,1.581353,5.7537,6.9885,6.0228,6.0935,7.1289,3.6972,7.5528,7.7701,7.9253,6.0026,7.9941,1.7412,6.2510,7.8285,8.0000,8.0000
24,2.5,8.463877,6.150723,0.785398,1.056524,1.683275,7.9681,6.4964,6.0010,6.6942,3.4519,5.0486,7.2279,7.7418,7.7979,7.8618,8.0000,1.4132,6.8523,7.8836,8.0000,7.8898
25,2.6,8.534588,6.221433,0.942478,1.065883,1.521141,7.4235,6.2623,6.1275,7.2675,3.3870,7.3792,7.3190,7.9427,6.0725,8.0000,7.9881,1.5870,7.9472,7.9864,8.0000,5.9028
26,2.7,8.593366,6.302335,1.099557,0.995073,1.553256,6.7704,6.1936,6.3162,3.7844,4.4348,7.3543,7.4918,7.9223,6.6059,7.8666,7.9921,1.6324,7.9001,8.0000,8.0000,6.1778
27,2.8,8.638765,6.391436,1.256637,0.927550,1.611208,6.3697,6.2111,7.0130,3.4442,7.4777,7.2595,7.9223,6.2542,7.9505,8.0000,1.4488,7.1356,7.9832,7.9838,6.8986,8.0000
28,2.9,8.669667,6.486541,1.413717,1.070702,1.582954,6.4482,6.5838,4.0928,4.4053,7.2712,7.4614,8.0000,5.4026,8.0000,7.8112,1.3744,8.0000,8.0000,8.0000,6.2178,7.3749
29,3.0,8.685310,6.585310,1.570796,0.948826,1.500227,6.2780,6.7384,3.4384,7.7292,7.1820,7.7573,6.3544,8.0000,7.9355,7.9726,1.3217,7.8379,8.0000,8.0000,7.9994,6.8257
30,3.1,8.685310,6.685310,1.570796,1.054545,-0.117248,6.5177,7.0143,3.4429,7.8892,7.2221,7.7239,6.1163,7.9612,7.9488,7.8692,1.3880,8.0000,8.0000,7.8906,8.0000,7.1980
31,3.2,8.685310,6.785310,1.570796,1.009403,-0.045211,6.5384,7.1669,3.5337,7.7466,7.2339,7.5993,6.2006,8.0000,7.8763,7.8586,1.0967,7.8969,7.9736,7.7419,7.9771,7.3053
32,3.3,8.685310,6.885310,1.570796,0.944170,-0.013653,6.6010,7.3138,3.7275,7.9441,7.1457,7.7128,5.9300,7.9494,7.8661,8.0000,0.9825,8.0000,8.0000,7.9490,8.0000,7.4238
33,3.4,8.685310,6.985310,1.570796,0.944610,0.086871,6.7257,7.2983,4.1177,7.7655,7.2620,7.8318,5.5819,8.0000,7.9475,7.8658,0.8228,8.0000,8.0000,8.0000,6.9694,7.2951
34,3.5,8.685310,7.085310,1.570796,0.950657,-0.027758,6.7717,7.4797,4.1227,7.6604,7.1018,7.6740,5.6246,8.0000,8.0000,8.0000,0.8348,1.0871,8.0000,8.0000,6.8402,7.5159
35,3.6,8.685310,7.185310,1.570796,1.060321,-0.008931,6.9905,7.6700,4.2747,7.8175,7.1322,7.7652,5.4218,7.9830,8.0000,7.9796,0.9831,0.8258,8.0000,7.9145,7.0911,7.5313
36,3.7,8.685310,7.285310,1.570796,0.947111,0.010297,7.1380,7.6548,4.4813,7.7088,7.1693,7.6590,5.5009,8.0000,8.0000,8.0000,0.9214,0.7173,8.0000,7.9981,7.0124,7.4890
37,3.8,8.685310,7.385310,1.570796,1.009055,-0.034596,7.1417,7.7345,4.3143,7.8199,7.2102,7.7447,5.0256,7.9055,7.9849,7.7576,5.6430,0.8164,7.9688,7.9506,7.0182,7.7851
38,3.9,8.685310,7.485310,1.570796,1.054708,0.000920,7.1810,7.8289,4.6432,7.9056,7.0930,7.6447,4.9130,7.7904,8.0000,7.8639,5.5016,0.5524,7.8882,8.0000,6.8689,7.7000
39,4.0,8.685310,7.585310,1.570796,1.008913,-0.017059,7.4182,8.0000,4.7492,7.6202,7.1126,7.8000,4.8167,7.8563,8.0000,7.9585,5.5841,0.7516,0.8530,8.0000,6.9667,8.0000
40,4.1,8.685310,7.685310,1.570796,1.107351,0.069389,7.5673,7.8878,5.2502,7.6301,7.0878,7.6800,4.9127,8.0000,7.8573,8.0000,5.6797,0.7182,0.6280,7.9275,6.9563,8.0000
41,4.2,8.685310,7.785310,1.570796,0.974005,0.036761,7.5300,7.8269,4.9261,7.8849,7.0677,7.9841,4.6741,7.8836,7.9166,8.0000,5.5072,8.0000,0.6509,8.0000,7.1460,7.9891
42,4.3,8.685310,7.885310,1.570796,0.950207,-0.013653,7.7862,8.0000,5.2557,7.6100,7.1292,7.6827,4.2817,7.9302,7.7318,8.0000,5.8194,8.0000,0.6927,0.7033,7.0689,8.0000
43,4.4,8.685310,7.985310,1.570796,0.979063,-0.007132,7.9707,7.9893,5.3265,7.7620,7.1830,7.6478,4.3502,7.8834,7.8472,8.0000,5.6992,7.9907,0.6567,0.7189,7.1051,7.9438
44,4.5,8.685310,8.085310,1.570796,1.072521,-0.068682,7.8460,8.0000,5.2992,7.8688,6.9399,7.7410,4.1077,8.0000,7.4345,7.8082,5.5684,8.0000,7.9107,0.7279,6.8814,7.9599
45,4.6,8.685310,8.185310,1.570796,0.957662,0.012201,8.0000,6.2683,5.5594,7.7182,7.1298,7.7205,3.9948,7.8438,7.6622,7.9085,5.5293,7.8412,8.0000,0.7359,7.1149,8.0000
46,4.7,8.685310,8.285310,1.570796,0.914832,-0.054185,8.0000,6.0484,5.6410,7.7321,7.1073,7.6488,3.9674,7.9522,7.2410,8.0000,5.5439,8.0000,7.8850,0.5920,1.1188,7.8415
47,4.8,8.685310,8.385310,1.570796,0.968191,0.029867,7.9670,5.9595,5.8938,7.7306,7.2534,7.8089,4.3036,7.8354,7.3728,7.8933,5.7405,8.0000,8.0000,1.0473,0.9255,7.7970
48,4.9,8.685310,8.485310,1.570796,1.085475,0.025411,7.9739,6.2184,6.0751,7.8475,6.9626,7.6786,4.0195,7.9105,7.4707,7.7741,5.6377,6.8455,8.0000,8.0000,0.9981,8.0000
49,5.0,8.685310,8.585310,1.570796,1.090199,0.005332,8.0000,6.0375,6.3090,7.8404,7.0498,7.8598,3.9325,7.7945,7.2499,8.0000,5.6559,6.4686,7.9268,8.0000,0.8823,7.9429
50,5.1,8.685310,8.685310,1.727876,1.041782,1.568876,8.0000,5.2298,7.9802,7.5027,7.1851,4.3480,5.0051,7.4164,7.0335,8.0000,4.8346,8.0000,7.9271,1.3169,1.1590,7.8946
51,5.2,8.669667,8.784079,1.884956,0.964975,1.499000,7.8969,5.8393,7.8503,6.9690,7.4479,3.6816,7.7524,7.0478,7.3702,7.9568,4.9536,8.0000,8.0000,1.2975,7.7414,7.9346
52,5.3,8.638765,8.879185,2.042035,0.891450,1.549486,5.2873,7.9326,7.5519,7.1477,4.8076,4.3446,7.2238,7.0420,7.8036,5.1123,8.0000,7.9586,7.9549,0.9740,8.0000,7.9631
53,5.4,8.593366,8.968285,2.199115,0.941199,1.636842,5.9986,8.0000,7.1065,7.4169,3.5629,7.8829,6.9793,6.7867,8.0000,4.6709,8.0000,8.0000,7.7942,1.1664,8.0000,8.0000
54,5.5,8.534588,9.049187,2.356194,1.049041,1.472813,7.9670,7.9720,7.4044,8.0000,4.2110,7.4848,6.9212,7.4948,5.4474,5.2078,7.9210,7.8553,8.0000,1.4653,7.9972,6.4421
55,5.6,8.463877,9.119898,2.513274,0.980355,1.582434,7.8978,7.5069,7.5246,3.6173,7.9256,6.9537,6.9373,7.8149,4.7484,8.0000,7.7347,7.9239,1.4364,8.0000,8.0000,5.7974
56,5.7,8.382975,9.178676,2.670354,1.031814,1.525850,7.9253,7.3777,7.7330,4.1131,7.5171,6.5523,7.0907,8.0000,4.2797,8.0000,8.0000,8.0000,1.4360,7.9348,8.0000,6.6719
57,5.8,8.293874,9.224075,2.827433,1.098848,1.572558,7.9074,7.5416,3.9997,8.0000,6.8629,6.6056,7.5509,4.7665,5.7567,8.0000,8.0000,7.9042,1.3686,7.8780,5.9969,7.8863
58,5.9,8.198769,9.254977,2.984513,1.010508,1.511724,7.8417,7.9499,4.1530,7.6150,6.6666,6.5535,7.8903,4.1101,8.0000,7.9921,7.8995,8.0000,1.3296,7.8931,6.2830,7.9790
59,6.0,8.100000,9.270620,3.141593,1.059824,1.604073,7.8235,4.6572,4.7905,7.0314,6.3529,7.4129,4.6421,4.6040,7.8390,7.9719,7.9416,1.3132,7.9002,7.8609,7.1123,7.9316
60,6.1,8.000000,9.270620,3.141593,0.965641,0.010794,7.8167,4.7182,7.9614,7.1475,6.3675,7.1907,4.5845,4.6659,7.7830,7.9827,8.0000,7.9615,1.5096,8.0000,7.1732,7.8820
61,6.2,7.900000,9.270620,3.141593,0.945035,-0.033193,7.8505,4.6698,7.9103,7.2427,6.5004,6.9237,4.4525,4.3665,7.6748,7.9451,7.9390,7.9675,1.3356,7.9406,7.2752,8.0000
62,6.3,7.800000,9.270620,3.141593,0.942908,0.062695,7.8379,4.5435,8.0000,6.9010,6.5575,6.9997,4.3606,4.6070,7.7947,7.9189,7.9931,8.0000,1.3498,7.9178,7.1191,8.0000
63,6.4,7.700000,9.270620,3.141593,1.044203,-0.047153,7.9551,4.6573,7.9833,7.1065,6.4983,7.0554,4.1700,4.6691,7.3905,8.0000,8.0000,7.8723,1.4033,8.0000,7.2012,8.0000
64,6.5,7.600000,9.270620,3.141593,0.981679,-0.035388,7.9394,4.5269,7.9254,7.1535,6.5015,7.0759,4.0512,4.6598,7.3248,7.8960,7.9848,7.9736,1.2680,8.0000,7.2096,8.0000
65,6.6,7.500000,9.270620,3.141593,1.006552,0.026365,7.9969,4.7141,8.0000,7.1330,6.5440,7.2123,3.9662,4.5122,7.3406,7.7181,8.0000,8.0000,8.0000,8.0000,7.3001,7.9054
66,6.7,7.400000,9.270620,3.141593,0.941990,-0.029907,7.9738,4.5244,8.0000,7.1386,6.4186,7.2853,3.6108,4.4973,7.2876,7.7293,8.0000,7.9381,7.8967,1.4354,7.0566,8.0000
67,6.8,7.300000,9.270620,3.141593,0.976002,0.038072,8.0000,4.7291,8.0000,7.2034,6.5770,7.0733,3.5988,4.4420,7.1542,7.6826,8.0000,8.0000,7.8648,1.3986,7.0901,7.9482
68,6.9,7.200000,9.270620,3.141593,1.008351,-0.057771,8.0000,4.5812,7.7845,7.1967,6.3695,7.0690,3.3583,4.4841,6.9601,7.5840,8.0000,8.0000,7.9739,1.5758,7.2367,8.0000
69,7.0,7.100000,9.270620,3.141593,0.979684,0.050930,8.0000,4.9411,8.0000,7.2177,6.5849,7.0160,3.2636,4.6201,6.7081,7.4407,8.0000,7.9335,8.0000,1.3649,7.0756,8.0000
70,7.1,7.000000,9.270620,3.141593,1.010426,0.014514,8.0000,5.0047,7.9123,7.2568,6.4385,7.1232,3.2515,4.7323,6.6371,7.4202,8.0000,8.0000,7.9790,1.6003,7.0538,8.0000
71,7.2,6.900000,9.270620,3.141593,1.017612,-0.070004,8.0000,5.0179,7.9644,7.0514,6.4760,6.9808,3.2941,4.5122,6.6839,7.3645,8.0000,8.0000,8.0000,1.5938,7.0204,8.0000
72,7.3,6.800000,9.270620,3.141593,1.039814,-0.016344,7.8734,5.2489,8.0000,6.9877,6.5780,6.9809,2.9517,4.5127,6.5612,7.0417,7.9387,8.0000,8.0000,1.9379,7.2342,7.9627
73,7.4,6.700000,9.270620,3.141593,1.003995,0.026908,8.0000,5.3399,8.0000,7.2269,6.6057,6.9465,2.9631,7.0213,6.5054,6.9473,7.9575,7.7916,8.0000,7.8502,7.1468,7.9439
74,7.5,6.600000,9.270620,3.141593,0.952460,0.019631,7.9671,5.3091,7.9231,7.1531,6.4990,7.0158,2.5409,6.8567,6.4155,6.7700,8.0000,7.4176,8.0000,7.9059,1.7960,8.0000
