# farm_scenario.csv - SYNTHETIC scenario for project 10.03
# generated by scripts/make_synthetic.py (no RNG - a scenario is constants)
# N            : environments in the full farm
# T_FARM       : ticks to run the full farm for (dt = 0.02 s, see src/kernels.cuh)
# EPISODE_CAP  : ticks per episode before a SUCCESSFUL (cap) reset
# SEED         : base RNG seed; every env's stream derives from this + its index
# DR_MASS_CART, DR_MASS_POLE, DR_LEN : +/- fractional domain-randomization ranges
#                (drawn ONCE per environment at farm init; see THEORY.md)
# THETA0_RANGE : +/- rad range the initial pole angle is drawn from at EVERY reset
# KX,KXD,KTH,KTHD : fixed linear state-feedback balance-controller gains
#                   (N/m, N.s/m, N/rad, N.s/rad - pole-placement derivation in THEORY.md)
# license: same as the repository (MIT) - fully synthetic, no external source
N,10000
T_FARM,1000
EPISODE_CAP,200
SEED,42
DR_MASS_CART,0.2
DR_MASS_POLE,0.3
DR_LEN,0.15
THETA0_RANGE,0.15
KX,12
KXD,14
KTH,73
KTHD,19
