# SYNTHETIC data — generated by scripts/make_synthetic.py for project 16.01
# regenerate: python make_synthetic.py --n 500 --seed 42
# a synthetic docking-under-current commanded-wrench trajectory, 10 Hz
# columns: t_s (s), Fx_N,Fy_N,Fz_N (N, body frame), Mx_Nm,My_Nm,Mz_Nm (N*m, body frame)
# body frame: x-forward, y-starboard, z-down (Fossen/SNAME marine convention)
t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
0.00,1.105753,2.391020,1.557444,-0.276789,0.628498,1.135551
0.10,1.574533,2.429764,1.721119,-0.451358,0.107975,1.013443
0.20,0.917747,2.516683,1.965225,0.082605,0.106704,1.145783
0.30,1.901648,2.297584,2.136658,0.254568,0.223059,0.759583
0.40,2.241959,2.599157,1.438432,-0.328171,0.726470,1.254533
0.50,2.275350,2.962026,1.896107,0.566806,0.253303,1.248631
0.60,2.471533,2.818821,2.235117,0.189488,0.574764,0.787241
0.70,2.033907,2.455990,1.466067,-0.136788,-0.033749,1.063225
0.80,2.595154,2.496051,1.768652,-0.141972,0.126925,1.764713
0.90,2.750217,2.703305,1.581130,0.395537,0.017692,1.249259
1.00,3.223406,2.695490,1.977784,0.368677,0.691135,1.686454
1.10,2.583424,2.047292,1.746447,-0.030806,0.052914,1.892887
1.20,3.339902,2.287983,2.095906,0.114190,0.749791,1.447193
1.30,2.826176,2.176484,2.010620,-0.001906,0.412810,1.923338
1.40,3.047071,2.104194,2.454881,0.261338,-0.088210,1.108586
1.50,2.832381,2.465830,2.256820,0.190073,-0.123252,1.477795
1.60,3.782741,2.319531,2.442517,0.644414,-0.183267,1.850328
1.70,3.521251,2.277974,1.744261,0.439914,-0.091466,1.596499
1.80,3.335484,2.643990,2.358584,0.077235,0.289004,1.371185
1.90,3.826235,2.508481,1.785767,0.467242,0.388540,1.374819
2.00,3.697975,2.123778,2.269834,0.372627,-0.228982,1.574205
2.10,2.967248,2.458619,2.373106,0.687433,0.068570,1.334645
2.20,3.829026,2.420309,1.582506,0.354747,-0.179380,2.062573
2.30,3.711569,1.544343,1.973894,0.431025,0.006567,2.198214
2.40,3.355643,1.569132,2.038957,0.623075,-0.067473,1.659848
2.50,3.907092,1.947421,1.938100,0.422084,-0.157983,1.593702
2.60,3.222785,1.824926,1.729743,0.135515,-0.218576,2.019487
2.70,3.080393,2.080014,2.358181,-0.003645,-0.062353,2.075231
2.80,3.027138,1.243825,2.432267,0.506135,0.161327,2.207219
2.90,3.577268,1.237824,1.591182,0.375119,0.101063,1.904433
3.00,3.451870,1.655703,2.475206,0.050831,0.068758,1.789971
3.10,3.534384,1.164983,1.677331,0.408729,0.076507,1.740914
3.20,2.870074,1.772685,1.925629,0.828514,0.193287,1.523090
3.30,3.565488,1.617688,2.446167,0.899916,0.479852,1.647368
3.40,2.996899,0.926839,1.872180,0.037896,-0.001805,2.473337
3.50,2.721348,1.427827,1.919417,0.407299,0.564488,2.488834
3.60,2.957337,1.292107,1.611776,0.285342,0.563722,2.076380
3.70,2.890401,1.250939,1.506020,0.576460,0.085611,2.352112
3.80,2.454139,1.392374,1.520150,0.181056,0.165463,2.175199
3.90,2.482892,0.479524,2.320820,0.243691,0.152544,2.118364
4.00,2.620954,0.870809,1.943123,0.933720,-0.250176,2.212572
4.10,2.398053,0.609925,2.081156,0.299839,-0.150763,2.244046
4.20,2.193639,0.598976,2.396368,0.996057,-0.406217,1.699545
4.30,2.352557,1.000097,2.266550,0.878639,-0.122509,1.636759
4.40,2.892288,0.696166,1.984467,0.985300,0.149375,1.477874
4.50,2.852095,0.217482,2.022616,0.934987,-0.382872,1.574944
4.60,2.124017,0.396541,1.617352,0.598173,0.187905,1.651011
4.70,2.638970,0.032297,1.818657,0.895264,0.303882,1.526053
4.80,2.421982,-0.030179,1.318143,0.756935,0.082418,1.680505
4.90,2.739332,0.169526,1.726110,-0.009316,-0.491871,2.284918
5.00,2.907781,0.088067,2.116206,0.558038,-0.431374,1.510999
5.10,2.323890,0.366062,2.060288,0.830070,0.307182,1.573866
5.20,2.282881,-0.505501,2.026210,0.846673,-0.197549,1.963197
5.30,2.211411,0.246279,2.092007,0.931259,0.194764,2.201225
5.40,2.110725,-0.022229,1.540280,0.877737,0.174260,2.159691
