# SYNTHETIC data — generated by scripts/make_synthetic.py for project 18.01
# This is a TASK DEFINITION (robot geometry, ground friction, sweep grid), not a
# recording — every field is a documented design choice, not measured from anything.
# regenerate: python make_synthetic.py --out C:/Users/sora5/CUDA_CPP_ROBOTICS_PROJECTS/projects/18-locomotion-other/18.01-snake-robots/data/sample/snake_scenario.csv
# derived (not stored): G = N_AMP*N_BETA*N_OMEGA = 8192 gaits, n_steps = round(T_SIM_S/DT_S) = 8000 steps/gait
# columns: LABEL,value — see ../README.md for units/meaning of every field
LINK_LEN_M,0.100000
LINK_MASS_KG,0.150000
GRAVITY,9.810000
MU_T,0.100000
MU_N,0.700000
N_AMP,32
AMP_MIN_R,0.050000
AMP_MAX_R,1.050000
N_BETA,32
BETA_MIN_R,0.100000
BETA_MAX_R,3.000000
N_OMEGA,8
OMEGA_MIN_R,1.000000
OMEGA_MAX_R,6.000000
T_SIM_S,8.000000
DT_S,0.001000
TURN_GAMMA_R,0.150000
