# SYNTHETIC scenario for project 25.01 — generated by scripts/make_synthetic.py
# regenerate: python make_synthetic.py
# Every numeric value below is a hand-chosen SYNTHETIC teaching parameter
# (plausible orders of magnitude; NOT fit to any real cell or dataset).
# See ../data/README.md for units/fields and THEORY.md for the derivations
# and the SOC/thermal-rise arithmetic behind the mission currents below.
#
# THERMAL: rho_cp[J/(m3 K)], kx,ky,kz[W/(m K)], T_init[K], T_coolant[K]
THERMAL,2.0e6,25.0,25.0,3.0,298.15,298.15
#
# CELL_DIMS: one cell's footprint Lx,Ly,Lz [m] (tiles exactly into the
# 4x3x2 pack -> 32x24x16 thermal grid, 8 voxels/cell/axis)
CELL_DIMS,0.08,0.06,0.12
#
# ANODE / CATHODE: R_p[m],D25[m^2/s],Ea_D[J/mol],c_max[mol/m^3],
#                  c0_frac[-],i0_ref[A/m^2],Ea_k[J/mol],A_surf[m^2]
# (graphite-like anode; NMC-like cathode — see module docstring)
ANODE,6.0e-6,3.0e-14,35000,30000,0.75,15.0,30000,2.5
CATHODE,5.0e-6,1.0e-14,25000,48000,0.40,10.0,30000,3.0
#
# ELEC: R_ohm[Ohm] — per-cell lumped internal ohmic resistance
ELEC,0.10
#
# MISSION: dt_thermal[s], n_sub[-] (electrochemistry substeps per
# thermal step), duration_s[s]
MISSION,0.1,5,1200
#
# SEG: kind[label only], duration_s[s], current_A[A] (+ = discharge).
# One 120 s AMR duty cycle, repeated 10x to fill the 1200 s mission.
SEG,accelerate,15,20.0
SEG,cruise,65,7.0
SEG,idle,20,1.0
SEG,charge,20,-10.0
#
# SWEEP_H: 6 convective coefficients [W/(m^2 K)], natural convection
# to an aggressive liquid cold plate; crossed with {bottom,side} in
# main.cu for the 12-design sweep.
SWEEP_H,10,25,50,100,250,500
