# SYNTHETIC data — 29.05 ultrasound point-scatterer phantom
# EDUCATIONAL/SYNTHETIC ONLY — no patient data, no diagnostic or therapeutic claim.
# generated by scripts/make_synthetic.py, seed=42
# regenerate: python make_synthetic.py --seed 42
# counts: 9 wire, 1400 inclusion, 18000 speckle (total 19409)
# columns: kind,x_m,z_m,amp_rel (kind: wire | inclusion | speckle; x_m/z_m in meters,
#          array/image frame per kernels.cuh; amp_rel: unitless relative reflectivity)
kind,x_m,z_m,amp_rel
wire,-0.00800000,0.02000000,15.0000
wire,-0.00400000,0.02000000,15.0000
wire,0.00000000,0.02000000,15.0000
wire,0.00400000,0.02000000,15.0000
wire,0.00800000,0.02000000,15.0000
wire,0.00000000,0.01200000,15.0000
wire,0.00000000,0.01600000,15.0000
wire,0.00000000,0.02400000,15.0000
wire,0.00000000,0.02800000,15.0000
inclusion,-0.00530287,0.01262505,1.4000
inclusion,-0.00712485,0.01361605,1.4000
inclusion,-0.00481764,0.01588350,1.4000
inclusion,-0.00639039,0.01264899,1.4000
inclusion,-0.00740681,0.01502678,1.4000
inclusion,-0.00525058,0.01522471,1.4000
inclusion,-0.00739780,0.01544633,1.4000
inclusion,-0.00447090,0.01599070,1.4000
inclusion,-0.00679875,0.01327740,1.4000
inclusion,-0.00371393,0.01418297,1.4000
inclusion,-0.00426253,0.01551863,1.4000
inclusion,-0.00446436,0.01614866,1.4000
inclusion,-0.00581886,0.01736558,1.4000
inclusion,-0.00660733,0.01526020,1.4000
inclusion,-0.00435298,0.01559260,1.4000
inclusion,-0.00419147,0.01538676,1.4000
inclusion,-0.00497714,0.01272912,1.4000
inclusion,-0.00736051,0.01394694,1.4000
inclusion,-0.00810104,0.01366395,1.4000
inclusion,-0.00799499,0.01388987,1.4000
inclusion,-0.00532158,0.01432416,1.4000
inclusion,-0.00664910,0.01354754,1.4000
inclusion,-0.00716511,0.01718327,1.4000
inclusion,-0.00525982,0.01554566,1.4000
inclusion,-0.00764431,0.01614563,1.4000
inclusion,-0.00768299,0.01439728,1.4000
inclusion,-0.00571525,0.01592307,1.4000
inclusion,-0.00428574,0.01638000,1.4000
inclusion,-0.00692273,0.01383870,1.4000
inclusion,-0.00411816,0.01407339,1.4000
inclusion,-0.00522281,0.01447816,1.4000
inclusion,-0.00392726,0.01479426,1.4000
inclusion,-0.00717560,0.01373314,1.4000
inclusion,-0.00569316,0.01381371,1.4000
inclusion,-0.00557707,0.01698911,1.4000
inclusion,-0.00650300,0.01359660,1.4000
inclusion,-0.00351231,0.01504763,1.4000
inclusion,-0.00795175,0.01563723,1.4000
inclusion,-0.00453960,0.01461080,1.4000
inclusion,-0.00818236,0.01440810,1.4000
inclusion,-0.00351939,0.01514557,1.4000
inclusion,-0.00509145,0.01518485,1.4000
inclusion,-0.00716587,0.01570481,1.4000
inclusion,-0.00794224,0.01467383,1.4000
inclusion,-0.00623138,0.01726908,1.4000
inclusion,-0.00412074,0.01381695,1.4000
inclusion,-0.00599707,0.01339326,1.4000
inclusion,-0.00700778,0.01569475,1.4000
inclusion,-0.00545515,0.01326420,1.4000
inclusion,-0.00468745,0.01519690,1.4000
inclusion,-0.00460687,0.01515177,1.4000
inclusion,-0.00696243,0.01278963,1.4000
inclusion,-0.00807173,0.01492995,1.4000
inclusion,-0.00467083,0.01314196,1.4000
inclusion,-0.00612359,0.01524902,1.4000
inclusion,-0.00717472,0.01686217,1.4000
inclusion,-0.00638431,0.01355899,1.4000
inclusion,-0.00580352,0.01614966,1.4000
inclusion,-0.00749424,0.01405858,1.4000
inclusion,-0.00630950,0.01508788,1.4000
inclusion,-0.00789498,0.01362349,1.4000
inclusion,-0.00680957,0.01544154,1.4000
inclusion,-0.00734943,0.01360109,1.4000
inclusion,-0.00814503,0.01565551,1.4000
